11,95,,,,,,,,,,,
S. Sclerotiorum Data,,,,,,,,,,,,
Sample,Continent_Country_Population,5-2,6-2,7-2,8-3,9-2,12-2,20-3,55-4,110-4,114-4,17-3
977C,South America_Brazil_Mato Grosso do Sul,332,505,172,256,0,228,292,207,385,367,360
977D,South America_Brazil_Mato Grosso do Sul,332,505,172,256,371,228,296,0,385,367,360
977E,South America_Brazil_Mato Grosso do Sul,332,505,174,264,0,234,292,207,385,367,360
978A,South America_Brazil_Góias,332,505,182,264,371,230,292,207,0,367,354
978B,South America_Brazil_Góias,332,505,174,264,371,234,292,191,385,367,354
978C,South America_Brazil_Góias,332,525,174,264,371,230,292,207,0,367,354
978D,South America_Brazil_Góias,332,505,174,264,371,230,284,207,385,367,354
978E,South America_Brazil_Góias,332,505,174,264,0,230,292,207,385,367,354
978E2,South America_Brazil_Góias,332,505,174,264,0,230,292,207,385,351,360
979A,South America_Brazil_Rio Grande do Sul,330,525,182,280,371,226,294,207,385,367,360
979B,South America_Brazil_Rio Grande do Sul,0,505,174,264,0,230,292,207,385,367,360
979C,South America_Brazil_Rio Grande do Sul,330,525,182,280,388,226,294,207,385,367,360
979D,South America_Brazil_Rio Grande do Sul,332,505,174,264,371,230,292,207,385,367,360
979E,South America_Brazil_Rio Grande do Sul,332,505,174,264,371,230,295,207,385,367,360
9986,South America_Brazil_Rio Grande do Sul,332,505,174,264,371,230,291,207,385,367,360
