ID,MCG,Year,Continent,Country,Population,Subpop,5-2,6-2,7-2,8-3,9-2,12-2,20-3,55-4,110-4,114-4,17-3
974A,O,2012,South America,Brazil,Rio Grande do Sul,Vacaria,332,505,172,256,371,228,294,207,NA,367,354
974B,O,2012,South America,Brazil,Rio Grande do Sul,Vacaria,340,495,182,280,388,230,294,207,397,351,354
974C,V,2012,South America,Brazil,Rio Grande do Sul,Vacaria,340,495,182,280,360,234,294,209,397,367,354
974D,O,2012,South America,Brazil,Rio Grande do Sul,Vacaria,332,525,182,280,371,226,292,NA,NA,367,354
974E,O,2012,South America,Brazil,Rio Grande do Sul,Vacaria,340,525,182,280,366,226,294,NA,397,367,354
975A,Q,2012,South America,Brazil,Rio Grande do Sul,Coxilha,332,505,182,268,388,228,292,183,381,367,354
975B,R,2012,South America,Brazil,Rio Grande do Sul,Coxilha,NA,505,174,264,388,230,292,207,385,351,354
975C,R,2012,South America,Brazil,Rio Grande do Sul,Coxilha,332,505,174,264,371,228,292,207,385,351,354
975D,W,2012,South America,Brazil,Rio Grande do Sul,Coxilha,332,505,174,264,371,230,283,NA,385,367,354
975E,Q,2012,South America,Brazil,Rio Grande do Sul,Coxilha,332,505,182,268,388,230,292,203,381,351,354
976A,S,2012,South America,Brazil,Paraná,Faxinal,334,495,NA,266,388,234,292,207,381,351,354
976B,T,2012,South America,Brazil,Paraná,Faxinal,332,505,172,256,388,228,292,NA,385,351,354
976B2,NA,2012,South America,Brazil,Paraná,Faxinal,332,505,172,256,388,228,292,195,385,367,360
976C,S,2012,South America,Brazil,Paraná,Faxinal,NA,495,182,266,388,234,292,207,381,351,360
976D,T,2012,South America,Brazil,Paraná,Faxinal,332,505,174,256,371,228,294,195,385,367,354
976E,T,2012,South America,Brazil,Paraná,Faxinal,340,505,172,254,371,228,292,NA,385,351,354
977A,T,2012,South America,Brazil,Mato Grosso do Sul,Chapadão do Sul,328,505,182,280,388,226,292,207,397,367,354
977B,U,2012,South America,Brazil,Mato Grosso do Sul,Chapadão do Sul,332,505,172,256,388,228,292,207,381,351,354
977C,I,2012,South America,Brazil,Mato Grosso do Sul,Chapadão do Sul,332,505,172,256,NA,228,292,207,385,367,360
977D,I,2012,South America,Brazil,Mato Grosso do Sul,Chapadão do Sul,332,505,172,256,371,228,296,NA,385,367,360
977E,N,2012,South America,Brazil,Mato Grosso do Sul,Chapadão do Sul,332,505,174,264,NA,234,292,207,385,367,360
978A,N,2012,South America,Brazil,Góias,Rio Verde,332,505,182,264,371,230,292,207,NA,367,354
978B,N,2012,South America,Brazil,Góias,Rio Verde,332,505,174,264,371,234,292,191,385,367,354
978C,N,2012,South America,Brazil,Góias,Rio Verde,332,525,174,264,371,230,292,207,NA,367,354
978D,N,2012,South America,Brazil,Góias,Rio Verde,332,505,174,264,371,230,284,207,385,367,354
978E,N,2012,South America,Brazil,Góias,Rio Verde,332,505,174,264,NA,230,292,207,385,367,354
979A,O,2012,South America,Brazil,Rio Grande do Sul,Vacaria,330,525,182,280,371,226,294,207,385,367,360
979B,N,2012,South America,Brazil,Rio Grande do Sul,Vacaria,NA,505,174,264,NA,230,292,207,385,367,360
979C,O,2012,South America,Brazil,Rio Grande do Sul,Vacaria,330,525,182,280,388,226,294,207,385,367,360
979D,N,2012,South America,Brazil,Rio Grande do Sul,Vacaria,332,505,174,264,371,230,292,207,385,367,360
979E,N,2012,South America,Brazil,Rio Grande do Sul,Vacaria,332,505,174,264,371,230,295,207,385,367,360
